"aeg";"Diisel";"Diisel_S";"D_akt";"D_hind_ee";"D_hind_lv";"D_hind_lt";"Bensiin";"Bensiin_S";"B_Akt";"B_hind_ee";"B_hind_lv";"B_hind_lt";"Kuu_palk";"SKP_ph";"Barrel";" kurss";"Veos";"Mnt_käive";"Jae_Hulgi";"Veoautod registris"
31.03.2003;54,0201605576441;54,0201605576441;162,97;;;;77,1050365714286;77,1050365714286;223,690769879718;;;;404,77612;3506,5401;31,5223391053391;0,931660224295678;4213,354;1351,067;412,228;80892
30.06.2003;52,9704619607843;52,9704619607843;162,97;;;;97,0923902857143;97,0923902857143;223,690769879718;;;;441,92604;3923,2625;26,1927705627705;0,88034630090944;4372,669;1524,897;470,9862;81769
30.09.2003;64,5856015686275;64,5856015686275;162,97;;;;109,937814857143;109,937814857143;223,690769879718;;;;411,04138;3849,4898;28,4496878725139;0,889128254346291;4258,395;1556,696;473,8689;82555
31.12.2003;71,6131156862745;71,6131156862745;162,97;;;;90,9593445714286;90,9593445714286;223,690769879718;;;;455,48234;4055,1449;29,3891563146997;0,841199426669451;4881,578;1995,835;498,3499;83430
31.03.2004;120,357428627451;81,0013673953187;162,97;;;;121,730628285714;121,730628285714;223,690769879718;;;;431,26813;3864,8663;31,9246000690131;0,799459135746035;4626,9826;1478,514;460,089;83959
30.06.2004;42,6229020833333;78,0433571922523;162,97;;;;54,2246918730159;54,2246918730159;223,690769879718;;;;474,06018;4081,4381;35,4473881673881;0,829903017414761;4686,374;1703,372;512,5982;84547
30.09.2004;69,70195625;73,6375623732132;245,42;;;;106,442087333333;106,442087333333;287,602418416781;;;;448,72049;4109,5221;41,3874242424242;0,818423308294877;4791,955;1832,045;529,0039;85135
31.12.2004;86,6510286458333;86,6510286458333;245,42;;;;94,3105853333333;94,3105853333333;287,602418416781;;;;492,37151;4316,3623;44,1631313131313;0,772323956103535;5149,674;1822,674;527,0471;85732
31.03.2005;79,5749187351316;79,5749187351316;245,42;725,24;715,20;739,47;92,3364971464473;92,3364971464473;287,602418416781;701,64;726,33;743,32;474,64753;4034,6474;47,6961818181818;0,762826202405115;4720,978;1675,868;477,7527;85827
30.06.2005;89,8060369690722;89,8060369690722;245,42;782,71;785,08;800,43;104,278101334075;104,278101334075;287,602418416781;768,92;786,30;807,42;529,89723;4528,9957;51,6279365079365;0,793651168998715;5067,608;1992,045;535,5716;85948
30.09.2005;89,5496243605732;89,5496243605732;245,42;848,83;849,39;871,43;107,619316025626;107,619316025626;287,602418416781;872,26;872,71;894,70;497,58861;4549,4651;61,4705533596838;0,819736340415964;4954,361;2121,962;549,6997;86070
31.12.2005;93,6794862429655;93,6794862429655;245,42;857,49;860,42;887,07;97,3949492397427;97,3949492397427;287,602418416781;848,33;858,78;871,94;555,37497;4812,8499;56,8787012987013;0,84074808980505;4759,571;1851,384;561,901;86201
31.03.2006;90,4374105933171;90,4374105933171;245,42;870,64;847,04;888,09;94,7937387927744;94,7937387927744;287,602418416781;853,66;836,28;886,79;549,06753;4465,0413;61,7533402346445;0,831102022171911;4784,742;1810,561;554,8653;87598
30.06.2006;103,212800934005;103,212800934005;245,42;887,43;909,07;909,65;108,450968223738;108,450968223738;287,602418416781;914,04;930,14;950,79;609,15151;4934,5749;69,530955204216;0,795616935500227;5126,594;2152,993;604,7954;89340
30.09.2006;114,466268115148;114,466268115148;245,42;888,19;894,38;908,32;118,534990877767;118,534990877767;287,602418416781;908,37;935,88;940,75;579,57895;4992,5975;69,6210973084886;0,784574483869496;5001,597;2209,473;631,8618;91233
31.12.2006;114,092123280374;114,092123280374;245,42;835,33;838,27;845,59;109,344172099792;109,344172099792;287,602418416781;788,97;803,00;825,97;652,66767;5275,9249;59,6805502392344;0,775191739529106;5666,275;2684,143;666,2795;92860
31.03.2007;111,029504966629;111,029504966629;245,42;826,09;847,45;828,09;103,969437237621;103,969437237621;287,602418416781;809,06;830,53;822,40;659,67431;4889,3181;57,7625575301891;0,763215050203379;6156,412;2896,654;595,7448;89633
30.06.2007;130,155136731422;130,155136731422;245,42;827,83;876,90;866,90;118,349499984682;118,349499984682;287,602418416781;909,50;935,34;936,13;738,08495;5393,0338;68,5812588288904;0,741933193455317;5071,462;2545,322;668,6454;86080
30.09.2007;125,310643398275;125,310643398275;245,42;862,38;892,85;882,07;123,624520823311;123,624520823311;287,602418416781;899,89;934,29;925,46;696,56091;5326,9697;74,9546758199847;0,727354638981013;4374,003;2495,101;683,3289;83182
