date,DPIC96
1947-01-01,1392.407
1947-04-01,1378.891
1947-07-01,1415.718
1947-10-01,1395.795
1948-01-01,1421.789
1948-04-01,1465.890
1948-07-01,1489.793
1948-10-01,1498.173
1949-01-01,1468.673
1949-04-01,1475.940
1949-07-01,1485.511
1949-10-01,1493.955
1950-01-01,1609.177
1950-04-01,1604.457
1950-07-01,1624.563
1950-10-01,1634.474
1951-01-01,1636.095
1951-04-01,1672.557
1951-07-01,1691.556
1951-10-01,1688.558
1952-01-01,1687.805
1952-04-01,1709.290
1952-07-01,1743.752
1952-10-01,1781.130
1953-01-01,1802.234
1953-04-01,1825.761
1953-07-01,1816.977
1953-10-01,1810.849
1954-01-01,1820.051
1954-04-01,1821.765
1954-07-01,1841.106
1954-10-01,1876.471
1955-01-01,1906.891
1955-04-01,1949.104
1955-07-01,1985.053
1955-10-01,2008.187
1956-01-01,2028.456
1956-04-01,2047.677
1956-07-01,2058.299
1956-10-01,2090.138
1957-01-01,2096.720
1957-04-01,2111.495
1957-07-01,2122.159
1957-10-01,2107.982
1958-01-01,2089.352
1958-04-01,2103.850
1958-07-01,2150.119
1958-10-01,2183.144
1959-01-01,2195.787
1959-04-01,2231.196
1959-07-01,2228.183
1959-10-01,2244.053
1960-01-01,2269.954
1960-04-01,2284.636
1960-07-01,2288.990
1960-10-01,2288.042
1961-01-01,2309.655
1961-04-01,2344.741
1961-07-01,2375.931
1961-10-01,2422.258
1962-01-01,2446.138
1962-04-01,2472.533
1962-07-01,2485.829
1962-10-01,2507.898
1963-01-01,2529.697
1963-04-01,2552.969
1963-07-01,2580.920
1963-10-01,2622.941
1964-01-01,2674.250
1964-04-01,2746.365
1964-07-01,2782.179
1964-10-01,2813.849
1965-01-01,2846.970
1965-04-01,2879.103
1965-07-01,2957.793
1965-10-01,3017.390
1966-01-01,3047.208
1966-04-01,3055.293
1966-07-01,3092.624
1966-10-01,3128.861
1967-01-01,3176.039
1967-04-01,3201.247
1967-07-01,3231.673
1967-10-01,3255.269
1968-01-01,3309.552
1968-04-01,3364.013
1968-07-01,3374.769
1968-10-01,3400.882
1969-01-01,3409.315
1969-04-01,3442.693
1969-07-01,3512.860
1969-10-01,3539.728
1970-01-01,3576.905
1970-04-01,3621.015
1970-07-01,3678.871
1970-10-01,3670.069
1971-01-01,3743.308
1971-04-01,3797.826
1971-07-01,3817.670
1971-10-01,3862.181
1972-01-01,3879.866
1972-04-01,3920.168
1972-07-01,3996.414
1972-10-01,4156.598
1973-01-01,4188.126
1973-04-01,4223.471
1973-07-01,4242.563
1973-10-01,4288.981
1974-01-01,4217.773
1974-04-01,4178.544
1974-07-01,4182.320
1974-10-01,4176.733
1975-01-01,4170.450
1975-04-01,4363.361
1975-07-01,4299.932
1975-10-01,4333.546
1976-01-01,4385.876
1976-04-01,4410.786
1976-07-01,4445.200
1976-10-01,4473.403
1977-01-01,4483.456
1977-04-01,4525.596
1977-07-01,4588.483
1977-10-01,4676.190
1978-01-01,4712.855
1978-04-01,4762.737
1978-07-01,4799.780
1978-10-01,4831.355
1979-01-01,4889.815
1979-04-01,4845.606
1979-07-01,4867.617
1979-10-01,4876.192
1980-01-01,4893.069
1980-04-01,4850.055
1980-07-01,4904.532
1980-10-01,4972.057
1981-01-01,4965.100
1981-04-01,4970.894
1981-07-01,5078.088
1981-10-01,5083.669
1982-01-01,5095.938
1982-04-01,5126.682
1982-07-01,5151.281
1982-10-01,5167.460
1983-01-01,5216.222
1983-04-01,5252.373
1983-07-01,5331.188
1983-10-01,5449.929
1984-01-01,5558.792
1984-04-01,5651.123
1984-07-01,5725.728
1984-10-01,5772.469
1985-01-01,5757.403
1985-04-01,5869.535
1985-07-01,5851.143
1985-10-01,5913.044
1986-01-01,5990.800
1986-04-01,6067.419
1986-07-01,6106.100
1986-10-01,6115.403
1987-01-01,6171.748
1987-04-01,6113.987
1987-07-01,6223.426
1987-10-01,6307.349
1988-01-01,6399.868
1988-04-01,6465.760
1988-07-01,6528.255
1988-10-01,6589.847
1989-01-01,6664.872
1989-04-01,6645.224
1989-07-01,6689.365
1989-10-01,6745.986
1990-01-01,6797.794
1990-04-01,6845.103
1990-07-01,6842.681
1990-10-01,6784.328
1991-01-01,6801.283
1991-04-01,6851.042
1991-07-01,6879.012
1991-10-01,6936.200
1992-01-01,7075.791
1992-04-01,7145.957
1992-07-01,7179.108
1992-10-01,7211.805
1993-01-01,7238.787
1993-04-01,7261.182
1993-07-01,7267.508
1993-10-01,7318.014
1994-01-01,7366.339
1994-04-01,7440.527
1994-07-01,7483.917
1994-10-01,7591.307
1995-01-01,7656.201
1995-04-01,7677.910
1995-07-01,7748.260
1995-10-01,7793.543
1996-01-01,7867.340
1996-04-01,7939.476
1996-07-01,8003.765
1996-10-01,8046.395
1997-01-01,8123.032
1997-04-01,8195.020
1997-07-01,8291.452
1997-10-01,8413.567
1998-01-01,8590.692
1998-04-01,8708.815
1998-07-01,8796.547
1998-10-01,8866.183
1999-01-01,8946.329
1999-04-01,8966.482
1999-07-01,9027.656
1999-10-01,9163.245
2000-01-01,9338.678
2000-04-01,9441.952
2000-07-01,9551.595
2000-10-01,9585.736
2001-01-01,9672.598
2001-04-01,9655.706
2001-07-01,9878.502
2001-10-01,9753.663
2002-01-01,9973.532
2002-04-01,10041.054
2002-07-01,10032.300
2002-10-01,10091.868
2003-01-01,10115.601
2003-04-01,10238.895
2003-07-01,10411.905
2003-10-01,10439.340
2004-01-01,10487.421
2004-04-01,10607.594
2004-07-01,10676.852
2004-10-01,10811.704
2005-01-01,10684.945
2005-04-01,10786.450
2005-07-01,10818.340
2005-10-01,10956.911
2006-01-01,11170.065
2006-04-01,11197.381
2006-07-01,11226.350
2006-10-01,11374.500
2007-01-01,11471.408
2007-04-01,11500.783
2007-07-01,11510.998
2007-10-01,11518.824
2008-01-01,11550.819
2008-04-01,11762.205
2008-07-01,11515.015
2008-10-01,11615.324
2009-01-01,11565.491
2009-04-01,11689.821
2009-07-01,11557.640
2009-10-01,11554.792
2010-01-01,11619.754
2010-04-01,11811.199
2010-07-01,11895.286
2010-10-01,11961.982
2011-01-01,12083.876
2011-04-01,12057.571
2011-07-01,12110.213
2011-10-01,12147.876
2012-01-01,12375.275
2012-04-01,12487.781
2012-07-01,12398.390
2012-10-01,12741.861
2013-01-01,12231.915
2013-04-01,12323.044
2013-07-01,12376.321
2013-10-01,12425.218
2014-01-01,12598.293
2014-04-01,12769.897
2014-07-01,12918.965
2014-10-01,13089.711
2015-01-01,13238.370
2015-04-01,13337.976
2015-07-01,13436.018
2015-10-01,13478.644
2016-01-01,13568.730
2016-04-01,13554.275
2016-07-01,13615.035
2016-10-01,13696.702
2017-01-01,13860.948
2017-04-01,13953.404
2017-07-01,14034.529
2017-10-01,14162.431
2018-01-01,14400.314
2018-04-01,14495.935
2018-07-01,14613.284
2018-10-01,14715.221
2019-01-01,14878.094
2019-04-01,14966.643
2019-07-01,15075.232
