"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
10027738;"Osaühing Hansaliin";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;1836;43;144;1649;4332973,78;5797518,46
10043950;"aktsiaselts Norma";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mootorsõidukite, haagiste ja poolhaagiste tootmine";29;873;12;88;773;1831156,76;2450087,27
10233337;"Osaühing HT Laevateenindus";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;528;25;38;465;1382928,24;1850357,95
10032389;"Enefit Kaevandused AS";"Ida-Viru maakond";"MÄETÖÖSTUS";"Toornafta ja maagaasi tootmine";6;848;157;691;0;1377386,23;1842942,82
10238429;"Aktsiaselts Tallink Grupp";"Harju maakond";"VEONDUS JA LAONDUS";"Veetransport";50;466;21;16;429;1113945,82;1490459,38
74000033;"Rahvusooper Estonia";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;414;4;41;369;1041138,97;1393044,14
12417834;"Bolt Technology OÜ";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;526;8;518;0;1020563,48;1365513,9
10184643;"AS Postimees Grupp";"Harju maakond";"INFO JA SIDE";"Kirjastamine";58;555;16;539;0;986915,76;1320493,24
10120596;"Aktsiaselts Wendre";"Pärnu maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;640;80;560;0;941457,36;1259669,66
10349560;"Aktsiaselts Tallinna Lennujaam";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;368;7;72;289;900281,58;1204576,79
10282927;"osaühing Harmet";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;516;70;446;0;896200,5;1199116,42
12305124;"Kaubamaja AS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;627;80;547;0;707437,13;946550,79
12214574;"Fortaco Estonia OÜ";"Ida-Viru maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;379;88;120;171;665858,07;890918,05
11206785;"AS Tallinn Airport GH";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;252;5;49;198;609478,51;815482,17
10586863;"AS Ekspress Meedia";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;315;5;310;0;568642,27;760843,32
14437516;"OLYMPIC ENTERTAINMENT GROUP AS";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Hasartmängude ja kihlvedude korraldamine";92;363;39;324;0;563014,2;753312,93
10930852;"AQ Lasertool OÜ";"Pärnu maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;332;16;316;0;560863,93;750435,88
