"","EMTAK.kood","Töötajadhyvitis","Maksudhyvitis","Tööjõumaksudhyvitis","Töötajadkokku","Maksudkokku","Tööjõumaksudkokku","töötajadpc","maksudpc","tööjõumaksudpc"
"1","",22.25,105352.15,77788.8,1833.75,14156103.61,5240123.71,0.0121336059986367,0.00744217144084607,0.0148448403711446
"2","F",13673.25,154896769.91,91951725.33,53533.75,650891925.39,345550524.31,0.255413640927452,0.237976173720682,0.266102114918247
"3","D",1019.5,19958682.2,12107572.31,5058.5,253253380.01,63790165.51,0.201541959078778,0.0788091444197582,0.189803117975951
"4","K",617.5,10479616.97,5517764.03,12739,317917579.45,185951601.16,0.0484731925582856,0.0329633139134043,0.0296731192180072
"5","N",12465.5,115090976.25,85240993.2,42257,367003306.55,234749552.59,0.294992545613744,0.313596564924464,0.363114614104833
"6","P",3471.5,18606243.22,14382552.83,66083.5,268722865.11,270534271.63,0.0525320238788805,0.0692395238208838,0.0531635150820023
"7","G",35638,751019268.57,231629217.87,97175,2903114134.9,636262899.03,0.366740416773862,0.258694365316736,0.364046400038608
"8","J",5060.25,67932826.36,54121581.62,28421.75,525323167.07,347154308.22,0.178041464723319,0.12931625829277,0.155900648036037
"9","L",2344,35981947.7,15294794.97,23580.5,313363067.06,77384188.98,0.0994041686987129,0.114825106984004,0.197647544952018
"10","R",10117,68510617.21,48319350.78,21561.25,133978484.66,84749228.19,0.46922140413937,0.511355367123765,0.570145024467626
"11","M",9001.75,93791778.99,59750992.85,35849,409429131.25,239507699.26,0.251101843845017,0.229079398194385,0.24947420494043
"12","I",26635.75,152201664.79,102636762.23,31443,175880312.09,114422062.06,0.847112234837643,0.865370677259866,0.897001508119823
"13","S",5080,24753974.62,17713160.4,16816,81413572.83,59144027.76,0.30209324452902,0.30405218392379,0.299491953302167
"14","B",1817.25,24101121.15,21220431.6,3790.75,53351526.25,42421741.78,0.479390621908593,0.451741924627695,0.500225372877181
"15","A",1409.75,17660964.19,8157838.68,16184.25,197689883.41,90329294.47,0.0871062916106709,0.089336712053049,0.0903122151884997
"16","Q",7446.25,52993279.18,52980862.25,48548.75,327998479.27,338213608.9,0.153376760472721,0.161565624627111,0.156649114216054
"17","C",43665,378545802.29,321154053.96,112902.5,1233321544.2,870881641.8,0.386749629104759,0.306931962771757,0.368768887235028
"18","E",383.5,3909539.53,2138238.87,3905,58879715.97,29944581.8,0.0982074263764405,0.066398749817203,0.0714065363904999
"19","H",10487.75,163045938.52,75358691.24,42329.75,970173611.84,295377669.69,0.247763098057513,0.168058517084146,0.25512656836615
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
