"","Meede","Asutus","Kokku","Arv"
"1","Erakorraline fikseeritud käendus olemasolevatele laenudele","Kredex",362375.36,4
"2","Erakorraline proportsionaalne käendus majutus-, toitlustus- ja turismisektorile","Kredex",783000,5
"3","Erakorraline proportsionaalne käendus olemasolevatele laenudele","Kredex",23417573.68,55
"4","Erakorraline proportsionaalne käendus uutele laenudele","Kredex",10157369,53
"5","Erakorraline proportsionaalne väikelaenu käendus","Kredex",262000,9
"6","Erakorraline investeerimislaen","Kredex",3327787,16
"7","Erakorraline käibekapitalilaen","Kredex",19663662,78
"8","Erakorraline laen riiklikult olulistele projektidele","Kredex",1e+08,1
"9","MES käendus","MES",5143084.58,24
"10","MES laen","MES",27667079,122
"11","Ettevõtja kriisitoetus","EAS",8790000,2190
"12","Ettevõtja kriisitoetus - Ida-Viru","EAS",503000,127
"13","Ettevõtja kriisitoetus - saared","EAS",349000,87
"14","Kaubandus- ja teenindusettevõtjate rendimaksete toetus","EAS",950058.31,345
"15","Turismiettevõtja kriisitoetus – majutusettevõtja","EAS",8218550.04,295
"16","Turismiettevõtja kriisitoetus – reisiettevõtja","EAS",2935565.95,90
"17","Turismiettevõtja kriisitoetus – saared","EAS",859144.91,48
"18","Turismiettevõtja kriisitoetus – toitlustusettevõtja","EAS",5766859.88,520
"19","Turismiettevõtja kriisitoetus – turismiatraktsioon","EAS",1500000,44
"20","Turismiettevõtja kriisitoetus – turismiteenuse pakkuja","EAS",243000,81
"21","Töötasu hüvitis","Töötukassa",256533942.25,17562
"22","HTM erahariduse ja -huvitegevuse kriisitoetus","Haridus- ja Teadusministeerium",5339918,559
"23","HTM erahariduse ja -huvitegevuse kriisitoetus.2","Haridus- ja Teadusministeerium",1817820,178
"24","Koroonaviiruse levikuga seotud kriisist mõjutatud spordialaliitude ja spordialade jätkusuutlikkuse kriisiabi toetus","Kultuuriministeerium",692399,29
"25","Kriisiabi disainiettevõtetele","Kultuuriministeerium",442204,30
"26","Kriisiabi erakorraline toetus filmitootjatele ja –levitajatele ning muudele filmivaldkonna ettevõtetele","Kultuuriministeerium",5e+05,26
"27","Kriisiabi erakorraline toetus väärtfilmikinodele","Kultuuriministeerium",200996,4
"28","Kriisiabi etendusasutustele","Kultuuriministeerium",4e+06,37
"29","Kriisiabi kunstivaldkonnale","Kultuuriministeerium",6e+05,20
"30","Kriisiabi laulu- ja tantsupeo liikumises osalevatele kollektiivijuhtidele","Rahvakultuuri Keskus",120768,275
"31","Kriisiabi liikumisharrastuse ürituste jätkusuutlikkuse tagamiseks","Kultuuriministeerium",3e+05,10
"32","Kriisiabi muuseumidele","Kultuuriministeerium",6e+06,47
"33","Kriisiabi perioodiliste ajakirjandusväljaannete kirjastajatele","Kultuuriministeerium",303118,15
"34","Kriisiabi võistkondlike sportmängude täiskasvanute Eesti meistriliigade jätkusuutlikkuse toetususeks","Kultuuriministeerium",1200000,6
"35","Kultuuriministeeriumilt seni toetust mitte saanud kontserdikorraldajad, muusikakollektiivid, esitajad ja tugiteenused. Kriisiabi muusikavaldkonnale.","Kultuuriministeerium",449560,80
"36","Kultuuriministeeriumilt toetust saavad asutused ja organisatsioonid. Kriisiabi muusikavaldkonnale.","Kultuuriministeerium",1800000,35
"37","Lühilaagrid ja lühimalevad","Haridus- ja Teadusministeerium",2845536,681
