"","Registrikood","Nimi","Liik","KMKR","EMTAK","Maakond","MaksudI.2020","TööjõumaksudI.2020","KäiveI.2020","TöötajadI.2020","KuupäevI.2020","MaksudII.2020","TööjõumaksudII.2020","KäiveII.2020","TöötajadII.2020","KuupäevII.2020"
"1",10000018,"AMSERV AUTO AKTSIASELTS","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Harju ( Tallinn )",442031.59,486076.8,0,197,2020-03-31,209582.77,337316.48,0,84,2020-06-30
"2",10000024,"EESTI RAAMAT, OÜ","Äriühing","jah","INFO JA SIDE","Harju ( Tallinn )",18474.78,10983.73,137159.52,9,2020-03-31,10953.12,2790.05,127510.27,4,2020-06-30
"3",10000062,"ALDO KOPPEL","FIE","jah","PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK","Ida-Viru ( Lüganuse vald )",0,0,596.07,0,2020-03-31,0,0,66,0,2020-06-30
"4",10000127,"ARAVETE APTEEK, TÜ","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Järva ( Järva vald )",6549.83,4213.93,157214.76,2,2020-03-31,NA,NA,NA,NA,NA
"5",10000165,"KIVIÕLI KAUBAHOOV, AS","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Ida-Viru ( Lüganuse vald )",120205.29,56163.94,0,44,2020-03-31,NA,NA,NA,NA,NA
"6",10000219,"YEAR, AS","Äriühing","jah","TÖÖTLEV TÖÖSTUS","Harju ( Anija vald )",1725.3,125.44,29644.22,15,2020-03-31,NA,NA,NA,NA,NA
"7",10000248,"ITW CONSTRUCTION PRODUCTS OÜ","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Harju ( Tallinn )",129894.65,28981.94,0,7,2020-03-31,NA,NA,NA,NA,NA
"8",10000356,"ESTIKO, AS","Äriühing","jah","KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS","Tartu ( Tartu linn )",198121.74,35281.73,0,20,2020-03-31,NA,NA,NA,NA,NA
"9",10000372,"SAARIOINEN EESTI OÜ","Äriühing","jah","TÖÖTLEV TÖÖSTUS","Rapla ( Rapla vald )",560157.97,379915.11,0,135,2020-03-31,558530.34,232014.74,0,17,2020-06-30
"10",10000395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783.32,1389.02,15371.33,4,2020-06-30
"11",10000455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3304.81,2257.82,18472.05,4,2020-06-30
"12",10000461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.99,309.1,3644.13,1,2020-06-30
"13",10000515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146333.48,14608.01,0,17,2020-06-30
"14",10000550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12362.65,5727.99,4181.22,6,2020-06-30
"15",10000573,"AKTSIASELTS METAPRINT","Äriühing","jah","TÖÖTLEV TÖÖSTUS","Harju ( Tallinn )",830488.61,648858.41,0,226,2020-03-31,133682.75,386810.47,0,22,2020-06-30
"16",10000610,"KITOON, OÜ","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Võru ( Antsla vald )",1221.13,843.6,7243.49,3,2020-03-31,671.14,753.07,6643.3,2,2020-06-30
"17",10000774,"CASUS, UÜ","Äriühing","jah","KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS","Tartu ( Tartu linn )",0,422.04,1186.26,0,2020-03-31,5644,103.94,318.44,6,2020-06-30
"18",10000805,"ELKE MUSTAMÄE AS","Äriühing","jah","HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT","Harju ( Tallinn )",494343.1,235088.26,0,81,2020-03-31,231175.13,92651.34,0,8,2020-06-30
"19",10000811,"DINER OSAÜHING","Äriühing","jah","PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK","Lääne-Viru ( Väike-Maarja vald )",6843.58,17136.21,230954.16,8,2020-03-31,4089.97,3979.64,223040.17,4,2020-06-30
