"","Registrikood","Kokku","Arv","Meede","Asutus","Summa","Nimi","Staatus","Tüüp","Staatus.tekstina","Asutamiskuupäev"
"1","10081927",1140507.81,5,"Erakorraline proportsionaalne käendus olemasolevatele laenudele","Kredex",218209.58,"CHARLOT OÜ","R","Osaühing","Registrisse kantud",1996-08-22
"2","10081927",1140507.81,5,"Erakorraline proportsionaalne käendus olemasolevatele laenudele","Kredex",516690.09,"CHARLOT OÜ","R","Osaühing","Registrisse kantud",1996-08-22
"3","10081927",1140507.81,5,"Erakorraline proportsionaalne käendus uutele laenudele","Kredex",240000,"CHARLOT OÜ","R","Osaühing","Registrisse kantud",1996-08-22
"4","10081927",1140507.81,5,"Kaubandus- ja teenindusettevõtjate rendimaksete toetus","EAS",9454.26,"CHARLOT OÜ","R","Osaühing","Registrisse kantud",1996-08-22
"5","10081927",1140507.81,5,"Töötasu hüvitis","Töötukassa",156153.88,"CHARLOT OÜ","R","Osaühing","Registrisse kantud",1996-08-22
"6","10245984",88861.06,8,"Töötasu hüvitis","Töötukassa",35461.06,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"7","10245984",88861.06,8,"HTM erahariduse ja -huvitegevuse kriisitoetus","Haridus- ja Teadusministeerium",2120,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"8","10245984",88861.06,8,"HTM erahariduse ja -huvitegevuse kriisitoetus","Haridus- ja Teadusministeerium",1080,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"9","10245984",88861.06,8,"HTM erahariduse ja -huvitegevuse kriisitoetus","Haridus- ja Teadusministeerium",24145,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"10","10245984",88861.06,8,"HTM erahariduse ja -huvitegevuse kriisitoetus.2","Haridus- ja Teadusministeerium",13455,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"11","10245984",88861.06,8,"Lühilaagrid ja lühimalevad","Haridus- ja Teadusministeerium",4200,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"12","10245984",88861.06,8,"Lühilaagrid ja lühimalevad","Haridus- ja Teadusministeerium",4200,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"13","10245984",88861.06,8,"Lühilaagrid ja lühimalevad","Haridus- ja Teadusministeerium",4200,"Osaühing ESTEETIKA JA TANTSUKOOL","R","Osaühing","Registrisse kantud",1997-08-07
"14","10338183",41051.34,4,"Kaubandus- ja teenindusettevõtjate rendimaksete toetus","EAS",169.07,"Osaühing GENEVA","R","Osaühing","Registrisse kantud",1997-12-15
"15","10338183",41051.34,4,"Turismiettevõtja kriisitoetus – toitlustusettevõtja","EAS",15039.4,"Osaühing GENEVA","R","Osaühing","Registrisse kantud",1997-12-15
"16","10338183",41051.34,4,"Töötasu hüvitis","Töötukassa",16042.87,"Osaühing GENEVA","R","Osaühing","Registrisse kantud",1997-12-15
"17","10338183",41051.34,4,"Kultuuriministeeriumilt seni toetust mitte saanud kontserdikorraldajad, muusikakollektiivid, esitajad ja tugiteenused. Kriisiabi muusikavaldkonnale.","Kultuuriministeerium",9800,"Osaühing GENEVA","R","Osaühing","Registrisse kantud",1997-12-15
